id cmd;id client;id produit;qte;date livraison;;;;
1;1;DACO ABRICOT SS SUCRE AJ 150G;1;25/03/20;;;;
1;1;LAY'S CHIPS CUITE FOUR NATURE;1;25/03/20;;;;
1;1;AUCHAN SACS POUBELLE 100L X10;1;25/03/20;;;;
1;1;AUCHAN EPONGES GRATTANTES;1;25/03/20;;;;
1;1;TIPIAK BOULGOUR 500G;1;25/03/20;;;;
1;1;AUCHAN PAPIER CUISSON;1;25/03/20;;;;
1;1;AUCHAN ALLUM BACON FUMES 2X75G;1;25/03/20;;;;
1;1;AUCHAN CHEDDAR RAPE 150G;1;25/03/20;;;;
1;1;AUCHAN BIFIDUS 4 SAVEURS X12;1;25/03/20;;;;
1;1;AUCHAN FROM FRAIS 20% X8;1;25/03/20;;;;
1;1;AUCHAN SKYR MYRTILLE 450G;2;25/03/20;;;;
1;1;AUCHAN P TIT SAUCISSON 200G;1;25/03/20;;;;
1;1;AUCHAN 12 P'TITS CARRES 240G;1;25/03/20;;;;
1;1;ETORKI PORTION CAVE 180G;1;25/03/20;;;;
1;1;AUCHAN MINI BAT SSON SEC 100G;1;25/03/20;;;;
1;1;BOURSIN FIGUES NOIX 150G;1;25/03/20;;;;
1;1;BARILLA INTEGRALI PENNETTE RIG;3;25/03/20;;;;
1;1;AUCHAN BIO RATATOUILLE NICOISE;1;25/03/20;;;;
1;1;BARILLA SAUCE PESTO ROSSO 200G;1;25/03/20;;;;
1;1;TUC SALE 3X100G;1;25/03/20;;;;
1;1;AUCHAN RIZ THAI 1KG;1;25/03/20;;;;
1;1;AUCHAN HARICOTS ROUGES 500 G;1;25/03/20;;;;
1;1;AUCHAN COUSCOUS MOYEN 1KG;1;25/03/20;;;;
1;1;POUCE VINAIGRE ALCOOL BLANC 1L;1;25/03/20;;;;
1;1;MAGGI COEUR DE BOUILLON;1;25/03/20;;;;
1;1;AUCHAN SPECIALITE SSA POMME;1;25/03/20;;;;
1;1;AUCHAN ANANAS EN TRANCHES 3/4;1;25/03/20;;;;
1;1;BIO TASTE OF NATURE CALIFORNIA;3;25/03/20;;;;
1;1;BIO TASTE OF NATURE BRAZILIAN;3;25/03/20;;;;
1;1;AUCHAN ESS PATE FEUILLETEE230G;1;25/03/20;;;;
1;1;AUCHAN COMPOTE ALLEGEE POMME;1;25/03/20;;;;
2;2;PDL LIT MANGUE PASSION X4;1;25/03/20;;;;
2;2;BARILLA INTEGRALI BLE COMPLET;1;25/03/20;;;;
2;2;AUCHAN EPONGES NON RAYANTES;1;25/03/20;;;;
2;2;BIO ALPINA SAVOIE COUSCOUS;1;25/03/20;;;;
2;2;AUCHAN FROM FRAIS NAT 3.6% X12;1;25/03/20;;;;
2;2;VOLVIC JUICY AGRUMES PET 1.5L;1;25/03/20;;;;
2;2;PRESIDENT BEUR MOTTE SDM 250G;1;25/03/20;;;;
2;2;PETIT MARSEILLAIS SAVON LIQUI;1;25/03/20;;;;
2;2;L OREAL ELSEVE SHAMPOOING;1;25/03/20;;;;
2;2;L OREAL ELSEVE HUILE EXTRAORDI;1;25/03/20;;;;
3;3;AUCHAN BACON FUME 10T 120G;1;25/03/20;;;;
3;3;MMM BLEU AUVERGNE 125G;3;25/03/20;;;;
3;3;AUCHAN FROM FRAIS NATURE 300G;2;25/03/20;;;;
3;3;DANIO 0% PASSION 150G;1;25/03/20;;;;
3;3;AUCHAN BEURRE PLQ DS 60% 250G;1;25/03/20;;;;
3;3;AUCHAN SKYR MYRTILLE 450G;1;25/03/20;;;;
3;3;AUCHAN DES APERO SALAD AFH120G;1;25/03/20;;;;
3;3;SVELT FERM FOND PANACH 12X125G;1;25/03/20;;;;
3;3;AUCHAN 12 P'TITS CARRES 240G;1;25/03/20;;;;
3;3;AUCHAN EMMENTAL RAPE 3X70G;1;25/03/20;;;;
3;3;AUCHAN GOU MOZZA BUFALA 120G;1;25/03/20;;;;
3;3;FLEURY ALLUMETTE JB 2X75G;1;25/03/20;;;;
3;3;BOURSIN FIGUES NOIX 150G;1;25/03/20;;;;
4;4;SAUPIQUET FILETS MAQUER. H. PR;2;25/03/20;;;;
4;4;SAUPIQUET FILETS MAQX NATURES;1;25/03/20;;;;
4;4;LUSTUCRU RIZ DOREE 400G;1;25/03/20;;;;
4;4;BENENUTS AMANDES GRILLEES SEC;1;25/03/20;;;;
4;4;DUCROS PAPRIKA DOUX MOULU 40G;1;25/03/20;;;;
4;4;TUC SALE 3X100G;1;25/03/20;;;;
4;4;AUCHAN RIZ THAI 1KG;1;25/03/20;;;;
4;4;AUCHAN YAOURT GRECQUE 4X125G;1;25/03/20;;;;
4;4;AUCHAN RIZ ARBORIO POUR RISOTT;1;25/03/20;;;;
4;4;SUZIWAN SAUCE SOJA ALLEGEE SEL;1;25/03/20;;;;
4;4;MMM SEL DE GUERANDE BOITE;1;25/03/20;;;;
4;4;AUCHAN DOUBLE CONC TOMATES;1;25/03/20;;;;
4;4;AUCHAN THON ALBACORE NATUREL;1;25/03/20;;;;
4;4;SUZIWAN VERMICELLES RIZ MIE;1;25/03/20;;;;
4;4;AUCHAN YAOURT GRECQUE 4X125G;2;25/03/20;;;;
